Date,Low,High,Last,Change,% Change
25 Jul 2025,-, -,5.7635,-0.0135, -0.23%
24 Jul 2025,-, -,5.777,-0.018, -0.31%
23 Jul 2025,-, -,5.795,0.098, 1.72%
22 Jul 2025,-, -,5.697,0.0865, 1.54%
21 Jul 2025,-, -,5.6105,0.0325, 0.58%
18 Jul 2025,-, -,5.578,0.092, 1.68%
17 Jul 2025,-, -,5.486,-0.0105, -0.19%
16 Jul 2025,-, -,5.4965,-0.0495, -0.89%
15 Jul 2025,-, -,5.546,0.031, 0.56%
14 Jul 2025,-, -,5.515,-0.047, -0.85%
11 Jul 2025,-, -,5.562,0.014, 0.25%
10 Jul 2025,-, -,5.548,0.1045, 1.92%
09 Jul 2025,-, -,5.4435,-0.2015, -3.57%
08 Jul 2025,-, -,5.645,0.6605, 13.25%
07 Jul 2025,-, -,4.9845,-0.1125, -2.21%
03 Jul 2025,-, -,5.097,-0.052, -1.01%
02 Jul 2025,-, -,5.149,0.101, 2.00%
01 Jul 2025,-, -,5.048,0.018, 0.36%
30 Jun 2025,-, -,5.03,-0.0385, -0.76%
27 Jun 2025,-, -,5.0685,0.003, 0.06%
26 Jun 2025,-, -,5.0655,0.1525, 3.10%
25 Jun 2025,-, -,4.913,0.046, 0.95%
24 Jun 2025,-, -,4.867,0.024, 0.50%
23 Jun 2025,-, -,4.843,0.017, 0.35%
20 Jun 2025,-, -,4.826,-0.019, -0.39%
18 Jun 2025,-, -,4.845,0.0445, 0.93%
17 Jun 2025,-, -,4.8005,-0.026, -0.54%
16 Jun 2025,-, -,4.8265,0.0235, 0.49%
13 Jun 2025,-, -,4.803,-0.0185, -0.38%
12 Jun 2025,-, -,4.8215,0.0205, 0.43%
11 Jun 2025,-, -,4.801,-0.083, -1.70%
10 Jun 2025,-, -,4.884,-0.0255, -0.52%
09 Jun 2025,-, -,4.9095,0.0795, 1.65%
06 Jun 2025,-, -,4.83,-0.0835, -1.70%
05 Jun 2025,-, -,4.9135,0.049, 1.01%
04 Jun 2025,-, -,4.8645,0.055, 1.14%
03 Jun 2025,-, -,4.8095,-0.025, -0.52%
02 Jun 2025,-, -,4.8345,0.182, 3.91%
30 May 2025,-, -,4.6525,-0.001, -0.02%
29 May 2025,-, -,4.6535,0.0095, 0.20%
28 May 2025,-, -,4.644,-0.066, -1.40%
27 May 2025,-, -,4.71,-0.0965, -2.01%
23 May 2025,-, -,4.8065,0.158, 3.40%
22 May 2025,-, -,4.6485,0.0105, 0.23%
21 May 2025,-, -,4.638,0.0185, 0.40%
20 May 2025,-, -,4.6195,-0.014, -0.30%
19 May 2025,-, -,4.6335,0.078, 1.71%
16 May 2025,-, -,4.5555,-0.089, -1.92%
15 May 2025,-, -,4.6445,0.0335, 0.73%
14 May 2025,-, -,4.611,-0.0705, -1.51%
13 May 2025,-, -,4.6815,0.103, 2.25%
12 May 2025,-, -,4.5785,-0.0325, -0.70%
09 May 2025,-, -,4.611,0.05, 1.10%
08 May 2025,-, -,4.561,-0.0555, -1.20%
07 May 2025,-, -,4.6165,-0.1185, -2.50%
06 May 2025,-, -,4.735,0.08, 1.72%
05 May 2025,-, -,4.655,0.0275, 0.59%
02 May 2025,-, -,4.6275,0.0465, 1.02%
01 May 2025,-, -,4.581,0.021, 0.46%
30 Apr 2025,-, -,4.56,-0.263, -5.45%
29 Apr 2025,-, -,4.823,-0.015, -0.31%
28 Apr 2025,-, -,4.838,0.0025, 0.05%
25 Apr 2025,-, -,4.8355,-0.0145, -0.30%
24 Apr 2025,-, -,4.85,0.0145, 0.30%
23 Apr 2025,-, -,4.8355,-0.035, -0.72%
22 Apr 2025,-, -,4.8705,0.1495, 3.17%
21 Apr 2025,-, -,4.721,-0.0105, -0.22%
17 Apr 2025,-, -,4.7315,0.0575, 1.23%
16 Apr 2025,-, -,4.674,0.063, 1.37%
15 Apr 2025,-, -,4.611,0.0005, 0.01%
14 Apr 2025,-, -,4.6105,0.103, 2.29%
11 Apr 2025,-, -,4.5075,0.1865, 4.32%
10 Apr 2025,-, -,4.321,0.1455, 3.48%
09 Apr 2025,-, -,4.1755,0.048, 1.16%
08 Apr 2025,-, -,4.1275,-0.0415, -1.00%
07 Apr 2025,-, -,4.169,-0.2155, -4.92%
04 Apr 2025,-, -,4.3845,-0.4265, -8.87%
03 Apr 2025,-, -,4.811,-0.2125, -4.23%
02 Apr 2025,-, -,5.0235,0.0045, 0.09%
01 Apr 2025,-, -,5.019,-0.001, -0.02%
31 Mar 2025,-, -,5.02,-0.0925, -1.81%
28 Mar 2025,-, -,5.1125,0.015, 0.29%
27 Mar 2025,-, -,5.0975,-0.1185, -2.27%
26 Mar 2025,-, -,5.216,0.033, 0.64%
25 Mar 2025,-, -,5.183,0.119, 2.35%
24 Mar 2025,-, -,5.064,-0.0235, -0.46%
21 Mar 2025,-, -,5.0875,0.0025, 0.05%
20 Mar 2025,-, -,5.085,0.009, 0.18%
19 Mar 2025,-, -,5.076,0.083, 1.66%
18 Mar 2025,-, -,4.993,0.0595, 1.21%
17 Mar 2025,-, -,4.9335,0.064, 1.31%
14 Mar 2025,-, -,4.8695,-0.029, -0.59%
13 Mar 2025,-, -,4.8985,0.0775, 1.61%
12 Mar 2025,-, -,4.821,0.081, 1.71%
11 Mar 2025,-, -,4.74,0.1005, 2.17%
10 Mar 2025,-, -,4.6395,-0.0435, -0.93%
07 Mar 2025,-, -,4.683,-0.096, -2.01%
06 Mar 2025,-, -,4.779,0.0125, 0.26%
05 Mar 2025,-, -,4.7665,0.239, 5.28%
04 Mar 2025,-, -,4.5275,-0.049, -1.07%
03 Mar 2025,-, -,4.5765,0.062, 1.37%
28 Feb 2025,-, -,4.5145,-0.0655, -1.43%
27 Feb 2025,-, -,4.58,0.038, 0.84%
26 Feb 2025,-, -,4.542,0.056, 1.25%
25 Feb 2025,-, -,4.486,-0.031, -0.69%
24 Feb 2025,-, -,4.517,-0.043, -0.94%
21 Feb 2025,-, -,4.56,-0.048, -1.04%
20 Feb 2025,-, -,4.608,0.051, 1.12%
19 Feb 2025,-, -,4.557,-0.028, -0.61%
18 Feb 2025,-, -,4.585,-0.0715, -1.54%
14 Feb 2025,-, -,4.6565,-0.1125, -2.36%
13 Feb 2025,-, -,4.769,0.071, 1.51%
12 Feb 2025,-, -,4.698,0.1035, 2.25%
11 Feb 2025,-, -,4.5945,-0.106, -2.26%
10 Feb 2025,-, -,4.7005,0.119, 2.60%
07 Feb 2025,-, -,4.5815,0.128, 2.87%
06 Feb 2025,-, -,4.4535,0.019, 0.43%
05 Feb 2025,-, -,4.4345,0.092, 2.12%
04 Feb 2025,-, -,4.3425,0.0485, 1.13%
03 Feb 2025,-, -,4.294,0.032, 0.75%
31 Jan 2025,-, -,4.262,-0.026, -0.61%
30 Jan 2025,-, -,4.288,0.0305, 0.72%
29 Jan 2025,-, -,4.2575,0.037, 0.88%
28 Jan 2025,-, -,4.2205,0.017, 0.40%
27 Jan 2025,-, -,4.2035,-0.0865, -2.02%
24 Jan 2025,-, -,4.29,-0.0095, -0.22%
23 Jan 2025,-, -,4.2995,0.028, 0.66%
22 Jan 2025,-, -,4.2715,-0.0395, -0.92%
21 Jan 2025,-, -,4.311,-0.0265, -0.61%
17 Jan 2025,-, -,4.3375,-0.073, -1.66%
16 Jan 2025,-, -,4.4105,0.051, 1.17%
15 Jan 2025,-, -,4.3595,0.049, 1.14%
14 Jan 2025,-, -,4.3105,0.015, 0.35%
13 Jan 2025,-, -,4.2955,0.021, 0.49%
10 Jan 2025,-, -,4.2745,-0.005, -0.12%
09 Jan 2025,-, -,4.2795,0.052, 1.23%
08 Jan 2025,-, -,4.2275,0.067, 1.61%
07 Jan 2025,-, -,4.1605,0.0335, 0.81%
06 Jan 2025,-, -,4.127,0.0875, 2.17%
03 Jan 2025,-, -,4.0395,0.051, 1.28%
02 Jan 2025,-, -,3.9885,0.0025, 0.06%
31 Dec 2024,-, -,3.986,-0.0595, -1.47%
30 Dec 2024,-, -,4.0455,-0.017, -0.42%
27 Dec 2024,-, -,4.0625,-0.0095, -0.23%
26 Dec 2024,-, -,4.072,0.0225, 0.56%
24 Dec 2024,-, -,4.0495,0.0265, 0.66%
23 Dec 2024,-, -,4.023,-0.018, -0.45%
20 Dec 2024,-, -,4.041,0.0205, 0.51%
19 Dec 2024,-, -,4.0205,-0.0795, -1.94%
18 Dec 2024,-, -,4.1,0.0085, 0.21%
17 Dec 2024,-, -,4.0915,-0.052, -1.25%
16 Dec 2024,-, -,4.1435,-0.0055, -0.13%
13 Dec 2024,-, -,4.149,-0.046, -1.10%
12 Dec 2024,-, -,4.195,-0.019, -0.45%
11 Dec 2024,-, -,4.214,-0.0095, -0.22%
10 Dec 2024,-, -,4.2235,0.0, 0.00%
09 Dec 2024,-, -,4.2235,0.085, 2.05%
06 Dec 2024,-, -,4.1385,0.0035, 0.08%
05 Dec 2024,-, -,4.135,-0.007, -0.17%
04 Dec 2024,-, -,4.142,-0.004, -0.10%
03 Dec 2024,-, -,4.146,0.0705, 1.73%
02 Dec 2024,-, -,4.0755,-0.005, -0.12%
29 Nov 2024,-, -,4.0805,0.0135, 0.33%
27 Nov 2024,-, -,4.067,0.028, 0.69%
26 Nov 2024,-, -,4.039,-0.0525, -1.28%
25 Nov 2024,-, -,4.0915,0.0175, 0.43%
22 Nov 2024,-, -,4.074,-0.039, -0.95%
21 Nov 2024,-, -,4.113,-0.0305, -0.74%
20 Nov 2024,-, -,4.1435,0.0135, 0.33%
19 Nov 2024,-, -,4.13,0.022, 0.54%
18 Nov 2024,-, -,4.108,0.057, 1.41%
15 Nov 2024,-, -,4.051,-0.022, -0.54%
14 Nov 2024,-, -,4.073,0.007, 0.17%
13 Nov 2024,-, -,4.066,-0.0535, -1.30%
12 Nov 2024,-, -,4.1195,-0.0915, -2.17%
11 Nov 2024,-, -,4.211,-0.0755, -1.76%
08 Nov 2024,-, -,4.2865,-0.1235, -2.80%
07 Nov 2024,-, -,4.41,0.1875, 4.44%
06 Nov 2024,-, -,4.2225,-0.228, -5.12%
05 Nov 2024,-, -,4.4505,0.0435, 0.99%
04 Nov 2024,-, -,4.407,0.0595, 1.37%
01 Nov 2024,-, -,4.3475,0.034, 0.79%
31 Oct 2024,-, -,4.3135,-0.014, -0.32%
30 Oct 2024,-, -,4.3275,-0.005, -0.12%
29 Oct 2024,-, -,4.3325,0.0005, 0.01%
28 Oct 2024,-, -,4.332,-0.0075, -0.17%
25 Oct 2024,-, -,4.3395,0.02, 0.46%
24 Oct 2024,-, -,4.3195,0.015, 0.35%
23 Oct 2024,-, -,4.3045,-0.0435, -1.00%
22 Oct 2024,-, -,4.348,0.025, 0.58%
21 Oct 2024,-, -,4.323,-0.023, -0.53%
18 Oct 2024,-, -,4.346,0.0595, 1.39%
17 Oct 2024,-, -,4.2865,-0.045, -1.04%
16 Oct 2024,-, -,4.3315,0.031, 0.72%
15 Oct 2024,-, -,4.3005,-0.063, -1.44%
14 Oct 2024,-, -,4.3635,-0.088, -1.98%
11 Oct 2024,-, -,4.4515,0.0665, 1.52%
10 Oct 2024,-, -,4.385,0.03, 0.69%
09 Oct 2024,-, -,4.355,-0.057, -1.29%
08 Oct 2024,-, -,4.412,-0.107, -2.37%
07 Oct 2024,-, -,4.519,-0.0035, -0.08%
