Date,Low,High,Last,Change,% Change
25 Jul 2025,4.4629,4.4633,4.4631,-0.0325, -0.72%
24 Jul 2025,4.4951,4.496,4.4956,-0.0036, -0.08%
23 Jul 2025,4.4987,4.4996,4.4992,0.0195, 0.44%
22 Jul 2025,4.4792,4.4801,4.4797,0.0145, 0.32%
21 Jul 2025,4.4647,4.4656,4.4652,0.0562, 1.27%
21 Jul 2025,4.4647,4.4656,4.4652,0.0562, 1.27%
18 Jul 2025,4.4089,4.4091,4.409,0.0451, 1.03%
17 Jul 2025,4.3638,4.364,4.3639,0.0025, 0.06%
16 Jul 2025,4.3613,4.3615,4.3614,-0.0078, -0.18%
15 Jul 2025,4.3681,4.3704,4.3692,0.0158, 0.36%
14 Jul 2025,4.3522,4.3545,4.3534,-0.0204, -0.47%
11 Jul 2025,4.3726,4.3749,4.3738,-0.0456, -1.03%
10 Jul 2025,4.4189,4.4198,4.4194,0.0479, 1.10%
09 Jul 2025,4.3704,4.3726,4.3715,-0.0942, -2.11%
08 Jul 2025,4.4656,4.4658,4.4657,0.0128, 0.29%
07 Jul 2025,4.452,4.4538,4.4529,-0.0288, -0.64%
04 Jul 2025,4.4815,4.4819,4.4817,-0.0599, -1.32%
03 Jul 2025,4.5405,4.5427,4.5416,0.0206, 0.46%
02 Jul 2025,4.5205,4.5214,4.521,0.0093, 0.21%
01 Jul 2025,4.511,4.5123,4.5117,0.0472, 1.06%
30 Jun 2025,4.4633,4.4656,4.4645,-0.0061, -0.14%
27 Jun 2025,4.4702,4.4711,4.4706,-0.0075, -0.17%
26 Jun 2025,4.477,4.4792,4.4781,0.071, 1.61%
25 Jun 2025,4.4066,4.4076,4.4071,-0.0075, -0.17%
24 Jun 2025,4.4135,4.4157,4.4146,0.0413, 0.94%
23 Jun 2025,4.3731,4.3735,4.3733,-0.0052, -0.12%
20 Jun 2025,4.3781,4.379,4.3785,0.0197, 0.45%
19 Jun 2025,4.3586,4.359,4.3588,-0.0342, -0.78%
